home_team,away_team,home_goals,away_goals,home_xG,away_xG,home_xGA,away_xGA
Liverpool,Manchester Utd,2,2,2.7,1.0,1.0,2.7
Wolves,Nott'ham Forest,0,3,1.5,2.1,2.1,1.5
West Ham,Fulham,3,2,1.0,1.7,1.7,1.0
Chelsea,Bournemouth,2,2,2.5,1.2,1.2,2.5
Brentford,Manchester City,2,2,2.5,2.2,2.2,2.5
Nott'ham Forest,Liverpool,1,1,0.3,2.0,2.0,0.3
Leicester City,Crystal Palace,0,2,1.7,1.8,1.8,1.7
Everton,Aston Villa,0,1,1.1,1.2,1.2,1.1
Newcastle Utd,Wolves,3,0,2.1,1.6,1.6,2.1
Arsenal,Tottenham,2,1,1.4,0.8,0.8,1.4
Ipswich Town,Brighton,0,2,0.3,1.0,1.0,0.3
Manchester Utd,Southampton,3,1,3.4,1.4,1.4,3.4
Newcastle Utd,Bournemouth,1,4,0.8,2.0,2.0,0.8
Leicester City,Fulham,0,2,0.6,2.0,2.0,0.6
West Ham,Crystal Palace,0,2,0.3,1.3,1.3,0.3
Brentford,Liverpool,0,2,0.7,3.4,3.4,0.7
Arsenal,Aston Villa,2,2,1.3,1.0,1.0,1.3
Everton,Tottenham,3,2,1.8,1.1,1.1,1.8
Manchester Utd,Brighton,1,3,1.5,1.9,1.9,1.5
Nott'ham Forest,Southampton,3,2,1.8,0.9,0.9,1.8
Ipswich Town,Manchester City,0,6,0.5,3.0,3.0,0.5
Chelsea,Wolves,3,1,3.1,0.8,0.8,3.1
Southampton,Newcastle Utd,1,3,0.8,2.9,2.9,0.8
Brighton,Everton,0,1,0.7,0.8,0.8,0.7
Liverpool,Ipswich Town,4,1,2.0,0.5,0.5,2.0
Bournemouth,Nott'ham Forest,5,0,1.7,1.0,1.0,1.7
Wolves,Arsenal,0,1,0.7,1.0,1.0,0.7
Manchester City,Chelsea,3,1,2.2,1.8,1.8,2.2
Crystal Palace,Brentford,1,2,1.1,1.3,1.3,1.1
Tottenham,Leicester City,1,2,1.0,1.6,1.6,1.0
Aston Villa,West Ham,1,1,0.9,1.3,1.3,0.9
Fulham,Manchester Utd,0,1,0.7,0.3,0.3,0.7
Nott'ham Forest,Brighton,7,0,3.3,0.9,0.9,3.3
Everton,Leicester City,4,0,2.5,0.3,0.3,2.5
Newcastle Utd,Fulham,1,2,0.8,1.6,1.6,0.8
Bournemouth,Liverpool,0,2,1.6,2.5,2.5,1.6
Ipswich Town,Southampton,1,2,1.8,0.9,0.9,1.8
Wolves,Aston Villa,2,0,1.6,0.4,0.4,1.6
Manchester Utd,Crystal Palace,0,2,1.1,2.6,2.6,1.1
Brentford,Tottenham,0,2,2.1,0.8,0.8,2.1
Arsenal,Manchester City,5,1,1.0,0.8,0.8,1.0
Chelsea,West Ham,2,1,1.6,1.2,1.2,1.6
Everton,Liverpool,2,2,1.0,0.6,0.6,1.0
Brighton,Chelsea,3,0,1.4,0.5,0.5,1.4
Leicester City,Arsenal,0,2,0.2,1.4,1.4,0.2
Fulham,Nott'ham Forest,2,1,2.1,0.4,0.4,2.1
Manchester City,Newcastle Utd,4,0,1.9,0.5,0.5,1.9
Southampton,Bournemouth,1,3,0.8,1.2,1.2,0.8
Aston Villa,Ipswich Town,1,1,2.4,0.4,0.4,2.4
West Ham,Brentford,0,1,0.8,1.6,1.6,0.8
Crystal Palace,Everton,1,2,1.6,0.9,0.9,1.6
Liverpool,Wolves,2,1,1.7,1.5,1.5,1.7
Tottenham,Manchester Utd,1,0,2.2,1.5,1.5,2.2
Aston Villa,Liverpool,2,2,0.6,2.5,2.5,0.6
Leicester City,Brentford,0,4,0.5,1.5,1.5,0.5
Everton,Manchester Utd,2,2,1.6,0.4,0.4,1.6
Fulham,Crystal Palace,0,2,0.2,1.3,1.3,0.2
Bournemouth,Wolves,0,1,0.9,2.0,2.0,0.9
Ipswich Town,Tottenham,1,4,1.1,1.7,1.7,1.1
Arsenal,West Ham,0,1,1.2,1.1,1.1,1.2
Southampton,Brighton,0,4,0.1,3.9,3.9,0.1
Aston Villa,Chelsea,2,1,2.3,2.3,2.3,2.3
Newcastle Utd,Nott'ham Forest,4,3,2.9,1.7,1.7,2.9
Manchester City,Liverpool,0,2,0.6,0.7,0.7,0.6
Brighton,Bournemouth,2,1,2.4,1.5,1.5,2.4
Crystal Palace,Aston Villa,4,1,4.3,0.4,0.4,4.3
Wolves,Fulham,1,2,1.3,1.7,1.7,1.3
Chelsea,Southampton,4,0,2.4,0.7,0.7,2.4
Tottenham,Manchester City,0,1,1.3,2.1,2.1,1.3
Nott'ham Forest,Arsenal,0,0,0.4,1.0,1.0,0.4
Manchester Utd,Ipswich Town,3,2,0.7,1.4,1.4,0.7
Brentford,Everton,1,1,1.4,1.5,1.5,1.4
Liverpool,Newcastle Utd,2,0,1.7,0.2,0.2,1.7
West Ham,Leicester City,2,0,1.3,0.4,0.4,1.3
Nott'ham Forest,Manchester City,1,0,0.7,0.9,0.9,0.7
Liverpool,Southampton,3,1,3.9,0.4,0.4,3.9
Brighton,Fulham,2,1,1.5,0.9,0.9,1.5
Crystal Palace,Ipswich Town,1,0,3.2,1.5,1.5,3.2
Brentford,Aston Villa,0,1,0.8,1.3,1.3,0.8
Wolves,Everton,1,1,0.8,1.2,1.2,0.8
Chelsea,Leicester City,1,0,1.7,0.1,0.1,1.7
Tottenham,Bournemouth,2,2,1.5,2.2,2.2,1.5
Manchester Utd,Arsenal,1,1,1.5,1.6,1.6,1.5
West Ham,Newcastle Utd,0,1,0.7,1.4,1.4,0.7
Everton,West Ham,1,1,1.0,0.8,0.8,1.0
Southampton,Wolves,1,2,1.3,0.4,0.4,1.3
Ipswich Town,Nott'ham Forest,2,4,0.4,1.5,1.5,0.4
Manchester City,Brighton,2,2,1.7,2.0,2.0,1.7
Bournemouth,Brentford,1,2,1.6,0.8,0.8,1.6
Arsenal,Chelsea,1,0,0.7,0.4,0.4,0.7
Fulham,Tottenham,2,0,1.0,0.9,0.9,1.0
Leicester City,Manchester Utd,0,3,1.0,0.9,0.9,1.0
Arsenal,Fulham,2,1,2.2,1.0,1.0,2.2
Wolves,West Ham,1,0,1.2,1.3,1.3,1.2
Nott'ham Forest,Manchester Utd,1,0,0.5,1.6,1.6,0.5
Newcastle Utd,Brentford,2,1,1.3,1.5,1.5,1.3
Manchester City,Leicester City,2,0,2.2,0.1,0.1,2.2
Southampton,Crystal Palace,1,1,0.7,0.7,0.7,0.7
Bournemouth,Ipswich Town,1,2,1.8,1.2,1.2,1.8
Brighton,Aston Villa,0,3,0.9,1.2,1.2,0.9
Liverpool,Everton,1,0,1.5,0.9,0.9,1.5
Chelsea,Tottenham,1,0,1.0,0.9,0.9,1.0
Everton,Arsenal,1,1,1.1,1.8,1.8,1.1
Crystal Palace,Brighton,2,1,0.6,1.0,1.0,0.6
Ipswich Town,Wolves,1,2,0.8,2.6,2.6,0.8
West Ham,Bournemouth,2,2,0.7,2.1,2.1,0.7
Aston Villa,Nott'ham Forest,2,1,3.0,1.5,1.5,3.0
Fulham,Liverpool,3,2,0.7,1.5,1.5,0.7
Brentford,Chelsea,0,0,1.1,1.2,1.2,1.1
Tottenham,Southampton,3,1,2.1,1.0,1.0,2.1
